segment,140312,140401,140402,140403,140404,140405,140406,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,273248,262067,234894,222323,221403,215797,210562,205602,174946,155321,151195,148129,146640,146381,143259,121694
active_customer_1m,359207,306089,363049,335869,271641,374333,395316,427324,443672,567118,515916,495856,390316,380191,531691,570743
active_customer_6m,447728,513396,487442,501985,532369,411951,400945,401962,423303,387162,503933,553981,647906,623608,488352,452201
dead_credit_holder,338524,349996,328747,325807,412506,286978,285425,71254,74111,73127,70889,71563,70922,71040,71649,125038
dead_customer,40464,54712,44787,45256,47158,43902,43906,24513,24891,25451,24975,26778,27488,27593,29775,49221
dormant_customer,85061,89510,109585,145944,181134,222182,238230,239694,241048,214837,182985,168538,175380,202878,203265,230120
fresh_credit_holder,104958,6238,29010,13202,926,4349,4174,4812,55918,28147,2054,845,1564,201,5335,27999
rejected,285805,288508,282941,280312,280157,279651,279107,277619,244914,232089,232879,234179,233745,233774,228512,183194
soft_churn_customer,132916,139573,143169,148233,155244,164885,175924,201745,213514,230558,247599,270991,295823,312532,330097,331369
unactivated_credit_holder,1474195,1532017,1518482,1523175,1439568,1538078,1508517,1687581,1645789,1628296,1609681,1571246,1552322,1543908,1510171,1450527
