segment,140403,140404,140405,140406,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,19662,19519,18953,18231,17640,13085,10662,10276,10020,9932,9904,9591,7600
active_customer_1m,14888,3397,6293,7338,8360,10337,15248,13908,13605,10052,9254,15325,17792
active_customer_6m,16,13166,13369,15201,17539,19880,14994,19762,21836,24970,24346,19196,17663
dead_credit_holder,155,211,222,230,122,389,416,393,432,422,428,452,1460
dead_customer,9,18,27,43,40,86,107,96,121,121,112,142,359
dormant_customer,0,0,0,0,0,5,5994,6218,7219,8943,10850,12325,10585
fresh_credit_holder,74145,142,550,694,700,11074,4821,340,138,121,34,787,8568
rejected,51946,51919,51654,51420,51047,43247,40212,40068,40046,39968,39955,39010,31546
soft_churn_customer,0,0,0,0,0,0,0,0,0,0,0,5,4422
unactivated_credit_holder,3034,75483,72787,70698,68407,65752,71401,72794,70438,69326,68972,67022,63860
