segment,140404,140405,140406,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,3155,2597,2524,2439,1879,1577,1513,1459,1446,1444,1405,1134
active_customer_1m,1273,2084,1168,1342,1636,2321,2208,2068,1501,1390,2297,2596
active_customer_6m,0,956,2395,2733,3149,3291,3741,3392,3837,3708,2916,2704
dead_credit_holder,15,31,38,25,40,47,43,50,48,49,55,107
dead_customer,0,2,3,2,14,15,16,23,23,18,24,55
dormant_customer,0,0,0,0,0,0,187,1052,1354,1657,1869,2289
fresh_credit_holder,9764,204,104,142,1548,659,71,26,28,5,161,1348
rejected,8716,8892,8822,8720,7468,6975,6924,6923,6897,6893,6668,5418
unactivated_credit_holder,32,8189,7901,7552,7221,8070,8252,7962,7821,7791,7560,7304
