segment,140406,140407,140408,140409,140410,140411,140412,140501,140502,140503
abandoned,12572,11580,8945,7402,7105,6896,6812,6795,6581,5210
active_customer_1m,15805,10360,10691,15402,13686,13089,9491,8399,14193,16910
active_customer_6m,23,12488,17536,19038,24216,27397,26065,24190,18665,16742
dead_credit_holder,171,73,278,288,279,311,315,333,354,702
dead_customer,7,19,30,68,77,107,104,100,132,292
dormant_customer,0,0,0,0,0,0,6059,9360,11221,14064
fresh_credit_holder,57225,1054,8956,4074,371,138,162,34,1049,9207
rejected,58906,58393,50501,47173,46817,46704,46586,46565,45105,36093
unactivated_credit_holder,2016,52758,49788,53280,54174,52083,51131,50949,49425,47505
