segment,140409,140410,140411,140412,140501,140502,140503
abandoned,40842,37807,36170,35664,35542,33880,26221
active_customer_1m,67316,42933,37300,25150,18597,37669,49661
active_customer_6m,20,44386,61855,78705,86502,77697,54166
dead_credit_holder,275,369,614,662,702,841,4946
dead_customer,20,37,50,70,82,120,623
dormant_customer,0,0,0,0,0,11,28898
fresh_credit_holder,410053,2539,988,541,237,5838,51248
rejected,247828,245919,245482,245109,244963,236831,185745
unactivated_credit_holder,0,392364,383895,380453,379729,373467,364846
