segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7799 (18133/23250),0.0120 (279/23250),0.0000 (0/23250),0.0008 (18/23250),0.0000 (0/23250),0.0000 (0/23250),0.1981 (4605/23250),0.0078 (181/23250),0.0000 (0/23250),0.0015 (34/23250)
active_customer_1m,0.0000 (0/98966),0.5320 (52650/98966),0.4656 (46080/98966),0.0000 (0/98966),0.0024 (236/98966),0.0000 (0/98966),0.0000 (0/98966),0.0000 (0/98966),0.0000 (0/98966),0.0000 (0/98966)
active_customer_6m,0.0000 (0/146321),0.1939 (28368/146321),0.5821 (85171/146321),0.0000 (0/146321),0.0078 (1148/146321),0.2162 (31634/146321),0.0000 (0/146321),0.0000 (0/146321),0.0000 (0/146321),0.0000 (0/146321)
dead_credit_holder,0.0000 (0/3547),0.0051 (18/3547),0.0000 (0/3547),0.9498 (3369/3547),0.0003 (1/3547),0.0000 (0/3547),0.0000 (0/3547),0.0000 (0/3547),0.0000 (0/3547),0.0448 (159/3547)
dead_customer,0.0000 (0/297),0.0236 (7/297),0.0707 (21/297),0.0000 (0/297),0.8182 (243/297),0.0875 (26/297),0.0000 (0/297),0.0000 (0/297),0.0000 (0/297),0.0000 (0/297)
dormant_customer,0.0000 (0/32491),0.0786 (2553/32491),0.0000 (0/32491),0.0000 (0/32491),0.0045 (146/32491),0.9169 (29792/32491),0.0000 (0/32491),0.0000 (0/32491),0.0000 (0/32491),0.0000 (0/32491)
fresh_credit_holder,0.0000 (0/2965),0.2978 (883/2965),0.0000 (0/2965),0.0024 (7/2965),0.0000 (0/2965),0.0000 (0/2965),0.0000 (0/2965),0.0000 (0/2965),0.0000 (0/2965),0.6998 (2075/2965)
rejected,0.0000 (0/147319),0.0321 (4723/147319),0.0000 (4/147319),0.0003 (39/147319),0.0000 (0/147319),0.0000 (0/147319),0.1831 (26973/147319),0.7828 (115316/147319),0.0000 (0/147319),0.0018 (264/147319)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/1014917),0.0259 (26257/1014917),0.0000 (0/1014917),0.0134 (13643/1014917),0.0000 (33/1014917),0.0000 (0/1014917),0.0000 (0/1014917),0.0000 (0/1014917),0.0000 (0/1014917),0.9607 (974984/1014917)
