segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9966 (35542/35664),0.0001 (5/35664),0.0000 (0/35664),0.0000 (0/35664),0.0000 (0/35664),0.0000 (0/35664),0.0010 (37/35664),0.0022 (80/35664),0.0000 (0/35664),0.0000 (0/35664)
active_customer_1m,0.0000 (0/25150),0.4323 (10872/25150),0.5676 (14274/25150),0.0000 (0/25150),0.0002 (4/25150),0.0000 (0/25150),0.0000 (0/25150),0.0000 (0/25150),0.0000 (0/25150),0.0000 (0/25150)
active_customer_6m,0.0000 (0/78705),0.0822 (6467/78705),0.9177 (72226/78705),0.0000 (0/78705),0.0002 (12/78705),0.0000 (0/78705),0.0000 (0/78705),0.0000 (0/78705),0.0000 (0/78705),0.0000 (0/78705)
dead_credit_holder,0.0000 (0/662),0.0000 (0/662),0.0000 (0/662),0.9955 (659/662),0.0000 (0/662),0.0000 (0/662),0.0000 (0/662),0.0000 (0/662),0.0000 (0/662),0.0045 (3/662)
dead_customer,0.0000 (0/70),0.0286 (2/70),0.0286 (2/70),0.0000 (0/70),0.9429 (66/70),0.0000 (0/70),0.0000 (0/70),0.0000 (0/70),0.0000 (0/70),0.0000 (0/70)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/541),0.0203 (11/541),0.0000 (0/541),0.0000 (0/541),0.0000 (0/541),0.0000 (0/541),0.0000 (0/541),0.0000 (0/541),0.0000 (0/541),0.9797 (530/541)
rejected,0.0000 (0/245109),0.0001 (26/245109),0.0000 (0/245109),0.0000 (0/245109),0.0000 (0/245109),0.0000 (0/245109),0.0008 (200/245109),0.9991 (244883/245109),0.0000 (0/245109),0.0000 (0/245109)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/380453),0.0032 (1214/380453),0.0000 (0/380453),0.0001 (43/380453),0.0000 (0/380453),0.0000 (0/380453),0.0000 (0/380453),0.0000 (0/380453),0.0000 (0/380453),0.9967 (379196/380453)
