segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9938 (21889/22026),0.0002 (5/22026),0.0000 (0/22026),0.0000 (0/22026),0.0000 (0/22026),0.0000 (0/22026),0.0018 (39/22026),0.0042 (93/22026),0.0000 (0/22026),0.0000 (0/22026)
active_customer_1m,0.0000 (0/14526),0.3221 (4679/14526),0.6775 (9841/14526),0.0000 (0/14526),0.0004 (6/14526),0.0000 (0/14526),0.0000 (0/14526),0.0000 (0/14526),0.0000 (0/14526),0.0000 (0/14526)
active_customer_6m,0.0000 (0/15524),0.0994 (1543/15524),0.9005 (13980/15524),0.0000 (0/15524),0.0001 (1/15524),0.0000 (0/15524),0.0000 (0/15524),0.0000 (0/15524),0.0000 (0/15524),0.0000 (0/15524)
dead_credit_holder,0.0000 (0/218),0.0046 (1/218),0.0000 (0/218),0.9908 (216/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218),0.0000 (0/218),0.0046 (1/218)
dead_customer,0.0000 (0/15),0.0000 (0/15),0.1333 (2/15),0.0000 (0/15),0.8667 (13/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15),0.0000 (0/15)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/1025),0.0254 (26/1025),0.0000 (0/1025),0.0000 (0/1025),0.0000 (0/1025),0.0000 (0/1025),0.0000 (0/1025),0.0000 (0/1025),0.0000 (0/1025),0.9746 (999/1025)
rejected,0.0000 (0/206895),0.0002 (36/206895),0.0000 (0/206895),0.0000 (0/206895),0.0000 (0/206895),0.0000 (0/206895),0.0010 (215/206895),0.9988 (206644/206895),0.0000 (0/206895),0.0000 (0/206895)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/694892),0.0047 (3253/694892),0.0000 (0/694892),0.0002 (105/694892),0.0000 (0/694892),0.0000 (0/694892),0.0000 (0/694892),0.0000 (0/694892),0.0000 (0/694892),0.9952 (691534/694892)
