segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7568 (19415/25653),0.0158 (405/25653),0.0000 (1/25653),0.0010 (25/25653),0.0000 (0/25653),0.0000 (0/25653),0.2149 (5514/25653),0.0084 (215/25653),0.0000 (0/25653),0.0030 (78/25653)
active_customer_1m,0.0000 (0/20450),0.5523 (11295/20450),0.4458 (9116/20450),0.0000 (0/20450),0.0019 (39/20450),0.0000 (0/20450),0.0000 (0/20450),0.0000 (0/20450),0.0000 (0/20450),0.0000 (0/20450)
active_customer_6m,0.0000 (0/33698),0.1633 (5502/33698),0.8279 (27900/33698),0.0000 (0/33698),0.0085 (288/33698),0.0002 (8/33698),0.0000 (0/33698),0.0000 (0/33698),0.0000 (0/33698),0.0000 (0/33698)
dead_credit_holder,0.0000 (0/1199),0.0058 (7/1199),0.0000 (0/1199),0.9650 (1157/1199),0.0000 (0/1199),0.0000 (0/1199),0.0000 (0/1199),0.0000 (0/1199),0.0000 (0/1199),0.0292 (35/1199)
dead_customer,0.0000 (0/126),0.0317 (4/126),0.0873 (11/126),0.0000 (0/126),0.8810 (111/126),0.0000 (0/126),0.0000 (0/126),0.0000 (0/126),0.0000 (0/126),0.0000 (0/126)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/5809),0.2405 (1397/5809),0.0000 (0/5809),0.0046 (27/5809),0.0002 (1/5809),0.0000 (0/5809),0.0000 (0/5809),0.0000 (0/5809),0.0000 (0/5809),0.7547 (4384/5809)
rejected,0.0000 (0/193680),0.0280 (5429/193680),0.0000 (4/193680),0.0006 (116/193680),0.0000 (1/193680),0.0000 (0/193680),0.2101 (40684/193680),0.7583 (146877/193680),0.0000 (0/193680),0.0029 (569/193680)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/63367),0.0477 (3022/63367),0.0000 (0/63367),0.0174 (1100/63367),0.0000 (2/63367),0.0000 (0/63367),0.0000 (0/63367),0.0000 (0/63367),0.0000 (0/63367),0.9349 (59243/63367)
