segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8495 (121694/143259),0.0051 (728/143259),0.0000 (2/143259),0.0773 (11081/143259),0.0011 (151/143259),0.0000 (0/143259),0.0605 (8661/143259),0.0060 (855/143259),0.0000 (0/143259),0.0006 (87/143259)
active_customer_1m,0.0000 (0/531691),0.6570 (349333/531691),0.3407 (181172/531691),0.0000 (0/531691),0.0022 (1186/531691),0.0000 (0/531691),0.0000 (0/531691),0.0000 (0/531691),0.0000 (0/531691),0.0000 (0/531691)
active_customer_6m,0.0000 (0/488352),0.2708 (132263/488352),0.5542 (270629/488352),0.0000 (0/488352),0.0102 (4981/488352),0.1648 (80479/488352),0.0000 (0/488352),0.0000 (0/488352),0.0000 (0/488352),0.0000 (0/488352)
dead_credit_holder,0.0000 (0/71649),0.0025 (176/71649),0.0000 (0/71649),0.9704 (69530/71649),0.0003 (25/71649),0.0000 (0/71649),0.0000 (0/71649),0.0000 (0/71649),0.0000 (0/71649),0.0268 (1918/71649)
dead_customer,0.0000 (0/29775),0.0073 (217/29775),0.0005 (15/29775),0.0000 (0/29775),0.9684 (28833/29775),0.0012 (37/29775),0.0000 (0/29775),0.0000 (0/29775),0.0226 (673/29775),0.0000 (0/29775)
dormant_customer,0.0000 (0/203265),0.1217 (24744/203265),0.0006 (123/203265),0.0000 (0/203265),0.0200 (4075/203265),0.7360 (149604/203265),0.0000 (0/203265),0.0000 (0/203265),0.1216 (24719/203265),0.0000 (0/203265)
fresh_credit_holder,0.0000 (0/5335),0.2304 (1229/5335),0.0032 (17/5335),0.0021 (11/5335),0.0000 (0/5335),0.0000 (0/5335),0.0000 (0/5335),0.0000 (0/5335),0.0000 (0/5335),0.7644 (4078/5335)
rejected,0.0000 (0/228512),0.0162 (3699/228512),0.0000 (3/228512),0.0969 (22139/228512),0.0027 (621/228512),0.0000 (0/228512),0.0846 (19338/228512),0.7979 (182339/228512),0.0000 (0/228512),0.0016 (373/228512)
soft_churn_customer,0.0000 (0/330097),0.0448 (14775/330097),0.0002 (67/330097),0.0000 (0/330097),0.0281 (9278/330097),0.0000 (0/330097),0.0000 (0/330097),0.0000 (0/330097),0.9269 (305977/330097),0.0000 (0/330097)
unactivated_credit_holder,0.0000 (0/1510171),0.0289 (43579/1510171),0.0001 (173/1510171),0.0148 (22277/1510171),0.0000 (71/1510171),0.0000 (0/1510171),0.0000 (0/1510171),0.0000 (0/1510171),0.0000 (0/1510171),0.9562 (1444071/1510171)
