segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.8585 (17491/20374),0.0093 (190/20374),0.0000 (0/20374),0.0000 (1/20374),0.0000 (0/20374),0.0000 (0/20374),0.1029 (2096/20374),0.0293 (596/20374),0.0000 (0/20374),0.0000 (0/20374)
active_customer_1m,0.0000 (0/14811),0.4998 (7402/14811),0.4991 (7392/14811),0.0000 (0/14811),0.0011 (17/14811),0.0000 (0/14811),0.0000 (0/14811),0.0000 (0/14811),0.0000 (0/14811),0.0000 (0/14811)
active_customer_6m,0.0000 (0/19043),0.2833 (5394/19043),0.6175 (11759/19043),0.0000 (0/19043),0.0016 (31/19043),0.0976 (1859/19043),0.0000 (0/19043),0.0000 (0/19043),0.0000 (0/19043),0.0000 (0/19043)
dead_credit_holder,0.0000 (0/504),0.0179 (9/504),0.0000 (0/504),0.9623 (485/504),0.0000 (0/504),0.0000 (0/504),0.0000 (0/504),0.0000 (0/504),0.0000 (0/504),0.0198 (10/504)
dead_customer,0.0000 (0/122),0.0656 (8/122),0.0164 (2/122),0.0000 (0/122),0.9098 (111/122),0.0082 (1/122),0.0000 (0/122),0.0000 (0/122),0.0000 (0/122),0.0000 (0/122)
dormant_customer,0.0000 (0/9559),0.1185 (1133/9559),0.0000 (0/9559),0.0000 (0/9559),0.0001 (1/9559),0.8814 (8425/9559),0.0000 (0/9559),0.0000 (0/9559),0.0000 (0/9559),0.0000 (0/9559)
fresh_credit_holder,0.0000 (0/12672),0.1432 (1815/12672),0.0000 (0/12672),0.0005 (6/12672),0.0000 (0/12672),0.0000 (0/12672),0.0000 (0/12672),0.0000 (0/12672),0.0000 (0/12672),0.8563 (10851/12672)
rejected,0.0000 (0/66399),0.0110 (731/66399),0.0000 (0/66399),0.0001 (4/66399),0.0000 (1/66399),0.0000 (0/66399),0.0574 (3808/66399),0.9316 (61855/66399),0.0000 (0/66399),0.0000 (0/66399)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/66698),0.0677 (4515/66698),0.0000 (0/66698),0.0006 (43/66698),0.0000 (0/66698),0.0000 (0/66698),0.0000 (0/66698),0.0000 (0/66698),0.0000 (0/66698),0.9317 (62140/66698)
