segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9676 (17640/18231),0.0036 (66/18231),0.0000 (0/18231),0.0000 (0/18231),0.0000 (0/18231),0.0000 (0/18231),0.0159 (290/18231),0.0129 (235/18231),0.0000 (0/18231),0.0000 (0/18231)
active_customer_1m,0.0000 (0/7338),0.2859 (2098/7338),0.7133 (5234/7338),0.0000 (0/7338),0.0008 (6/7338),0.0000 (0/7338),0.0000 (0/7338),0.0000 (0/7338),0.0000 (0/7338),0.0000 (0/7338)
active_customer_6m,0.0000 (0/15201),0.1910 (2904/15201),0.8082 (12286/15201),0.0000 (0/15201),0.0007 (11/15201),0.0000 (0/15201),0.0000 (0/15201),0.0000 (0/15201),0.0000 (0/15201),0.0000 (0/15201)
dead_credit_holder,0.0000 (0/230),0.0130 (3/230),0.0000 (0/230),0.3739 (86/230),0.0000 (0/230),0.0000 (0/230),0.0000 (0/230),0.0000 (0/230),0.0000 (0/230),0.6130 (141/230)
dead_customer,0.0000 (0/43),0.0233 (1/43),0.4419 (19/43),0.0000 (0/43),0.5349 (23/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43),0.0000 (0/43)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/694),0.1902 (132/694),0.0000 (0/694),0.0014 (1/694),0.0000 (0/694),0.0000 (0/694),0.0000 (0/694),0.0000 (0/694),0.0000 (0/694),0.8084 (561/694)
rejected,0.0000 (0/51420),0.0038 (197/51420),0.0000 (0/51420),0.0000 (1/51420),0.0000 (0/51420),0.0000 (0/51420),0.0080 (410/51420),0.9882 (50812/51420),0.0000 (0/51420),0.0000 (0/51420)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/70698),0.0419 (2959/70698),0.0000 (0/70698),0.0005 (34/70698),0.0000 (0/70698),0.0000 (0/70698),0.0000 (0/70698),0.0000 (0/70698),0.0000 (0/70698),0.9577 (67705/70698)
