segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.7796 (6973/8944),0.0103 (92/8944),0.0000 (0/8944),0.0003 (3/8944),0.0000 (0/8944),0.0000 (0/8944),0.2023 (1809/8944),0.0066 (59/8944),0.0000 (0/8944),0.0009 (8/8944)
active_customer_1m,0.0000 (0/14922),0.5389 (8042/14922),0.4605 (6871/14922),0.0000 (0/14922),0.0006 (9/14922),0.0000 (0/14922),0.0000 (0/14922),0.0000 (0/14922),0.0000 (0/14922),0.0000 (0/14922)
active_customer_6m,0.0000 (0/21425),0.2141 (4587/21425),0.5560 (11913/21425),0.0000 (0/21425),0.0050 (108/21425),0.2248 (4817/21425),0.0000 (0/21425),0.0000 (0/21425),0.0000 (0/21425),0.0000 (0/21425)
dead_credit_holder,0.0000 (0/620),0.0048 (3/620),0.0000 (0/620),0.9113 (565/620),0.0000 (0/620),0.0000 (0/620),0.0000 (0/620),0.0000 (0/620),0.0000 (0/620),0.0839 (52/620)
dead_customer,0.0000 (0/113),0.0177 (2/113),0.0088 (1/113),0.0000 (0/113),0.9381 (106/113),0.0354 (4/113),0.0000 (0/113),0.0000 (0/113),0.0000 (0/113),0.0000 (0/113)
dormant_customer,0.0000 (0/12297),0.0815 (1002/12297),0.0000 (0/12297),0.0000 (0/12297),0.0059 (72/12297),0.9127 (11223/12297),0.0000 (0/12297),0.0000 (0/12297),0.0000 (0/12297),0.0000 (0/12297)
fresh_credit_holder,0.0000 (0/1266),0.2615 (331/1266),0.0000 (0/1266),0.0024 (3/1266),0.0000 (0/1266),0.0000 (0/1266),0.0000 (0/1266),0.0000 (0/1266),0.0000 (0/1266),0.7362 (932/1266)
rejected,0.0000 (0/50406),0.0254 (1280/50406),0.0000 (0/50406),0.0003 (16/50406),0.0000 (0/50406),0.0000 (0/50406),0.1769 (8916/50406),0.7955 (40097/50406),0.0000 (0/50406),0.0019 (97/50406)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/83951),0.0325 (2729/83951),0.0000 (0/83951),0.0068 (574/83951),0.0000 (3/83951),0.0000 (0/83951),0.0000 (0/83951),0.0000 (0/83951),0.0000 (0/83951),0.9606 (80645/83951)
