segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9642 (11974/12418),0.0060 (74/12418),0.0000 (0/12418),0.0001 (1/12418),0.0000 (0/12418),0.0000 (0/12418),0.0151 (187/12418),0.0147 (182/12418),0.0000 (0/12418),0.0000 (0/12418)
active_customer_1m,0.0000 (0/9500),0.2759 (2621/9500),0.7234 (6872/9500),0.0000 (0/9500),0.0007 (7/9500),0.0000 (0/9500),0.0000 (0/9500),0.0000 (0/9500),0.0000 (0/9500),0.0000 (0/9500)
active_customer_6m,0.0000 (0/12226),0.1683 (2058/12226),0.8312 (10162/12226),0.0000 (0/12226),0.0005 (6/12226),0.0000 (0/12226),0.0000 (0/12226),0.0000 (0/12226),0.0000 (0/12226),0.0000 (0/12226)
dead_credit_holder,0.0000 (0/168),0.0000 (0/168),0.0000 (0/168),0.4107 (69/168),0.0000 (0/168),0.0000 (0/168),0.0000 (0/168),0.0000 (0/168),0.0000 (0/168),0.5893 (99/168)
dead_customer,0.0000 (0/13),0.0769 (1/13),0.0769 (1/13),0.0000 (0/13),0.8462 (11/13),0.0000 (0/13),0.0000 (0/13),0.0000 (0/13),0.0000 (0/13),0.0000 (0/13)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/795),0.1774 (141/795),0.0000 (0/795),0.0000 (0/795),0.0000 (0/795),0.0000 (0/795),0.0000 (0/795),0.0000 (0/795),0.0000 (0/795),0.8226 (654/795)
rejected,0.0000 (0/55061),0.0046 (255/55061),0.0000 (0/55061),0.0000 (0/55061),0.0000 (0/55061),0.0000 (0/55061),0.0114 (629/55061),0.9839 (54177/55061),0.0000 (0/55061),0.0000 (0/55061)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/52387),0.0651 (3408/52387),0.0000 (0/52387),0.0006 (30/52387),0.0000 (0/52387),0.0000 (0/52387),0.0000 (0/52387),0.0000 (0/52387),0.0000 (0/52387),0.9344 (48949/52387)
