segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9349 (28522/30509),0.0090 (275/30509),0.0000 (0/30509),0.0001 (3/30509),0.0000 (0/30509),0.0000 (0/30509),0.0308 (939/30509),0.0221 (673/30509),0.0000 (0/30509),0.0032 (97/30509)
active_customer_1m,0.0000 (0/23608),0.1893 (4470/23608),0.8085 (19088/23608),0.0000 (0/23608),0.0021 (50/23608),0.0000 (0/23608),0.0000 (0/23608),0.0000 (0/23608),0.0000 (0/23608),0.0000 (0/23608)
active_customer_6m,0.0000 (0/290),0.1034 (30/290),0.8966 (260/290),0.0000 (0/290),0.0000 (0/290),0.0000 (0/290),0.0000 (0/290),0.0000 (0/290),0.0000 (0/290),0.0000 (0/290)
dead_credit_holder,0.0000 (0/1358),0.0140 (19/1358),0.0000 (0/1358),0.8829 (1199/1358),0.0000 (0/1358),0.0000 (0/1358),0.0000 (0/1358),0.0000 (0/1358),0.0000 (0/1358),0.1031 (140/1358)
dead_customer,0.0000 (0/17),0.0588 (1/17),0.2941 (5/17),0.0000 (0/17),0.6471 (11/17),0.0000 (0/17),0.0000 (0/17),0.0000 (0/17),0.0000 (0/17),0.0000 (0/17)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/287413),0.0372 (10682/287413),0.0000 (0/287413),0.0052 (1483/287413),0.0000 (4/287413),0.0000 (0/287413),0.0000 (0/287413),0.0000 (0/287413),0.0000 (0/287413),0.9577 (275244/287413)
rejected,0.0000 (0/84609),0.0042 (356/84609),0.0000 (1/84609),0.0001 (5/84609),0.0000 (0/84609),0.0000 (0/84609),0.0117 (988/84609),0.9834 (83206/84609),0.0000 (0/84609),0.0006 (53/84609)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/2242),0.0366 (82/2242),0.0000 (0/2242),0.0004 (1/2242),0.0000 (0/2242),0.0000 (0/2242),0.0000 (0/2242),0.0000 (0/2242),0.0000 (0/2242),0.9630 (2159/2242)
