segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9878 (6812/6896),0.0003 (2/6896),0.0000 (0/6896),0.0000 (0/6896),0.0000 (0/6896),0.0000 (0/6896),0.0054 (37/6896),0.0065 (45/6896),0.0000 (0/6896),0.0000 (0/6896)
active_customer_1m,0.0000 (0/13089),0.4029 (5274/13089),0.5969 (7813/13089),0.0000 (0/13089),0.0002 (2/13089),0.0000 (0/13089),0.0000 (0/13089),0.0000 (0/13089),0.0000 (0/13089),0.0000 (0/13089)
active_customer_6m,0.0000 (0/27397),0.1167 (3196/27397),0.6622 (18141/27397),0.0000 (0/27397),0.0002 (5/27397),0.2210 (6055/27397),0.0000 (0/27397),0.0000 (0/27397),0.0000 (0/27397),0.0000 (0/27397)
dead_credit_holder,0.0000 (0/311),0.0000 (0/311),0.0000 (0/311),0.9743 (303/311),0.0000 (0/311),0.0000 (0/311),0.0000 (0/311),0.0000 (0/311),0.0000 (0/311),0.0257 (8/311)
dead_customer,0.0000 (0/107),0.0187 (2/107),0.0374 (4/107),0.0000 (0/107),0.9065 (97/107),0.0374 (4/107),0.0000 (0/107),0.0000 (0/107),0.0000 (0/107),0.0000 (0/107)
dormant_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0)
fresh_credit_holder,0.0000 (0/138),0.2029 (28/138),0.0145 (2/138),0.0000 (0/138),0.0000 (0/138),0.0000 (0/138),0.0290 (4/138),0.0000 (0/138),0.0000 (0/138),0.7536 (104/138)
rejected,0.0000 (0/46704),0.0009 (40/46704),0.0000 (2/46704),0.0000 (0/46704),0.0000 (0/46704),0.0000 (0/46704),0.0026 (121/46704),0.9965 (46541/46704),0.0000 (0/46704),0.0000 (0/46704)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/52083),0.0182 (949/52083),0.0020 (103/52083),0.0002 (12/52083),0.0000 (0/52083),0.0000 (0/52083),0.0000 (0/52083),0.0000 (0/52083),0.0000 (0/52083),0.9796 (51019/52083)
