segment_t0,abandoned,active_customer_1m,active_customer_6m,dead_credit_holder,dead_customer,dormant_customer,fresh_credit_holder,rejected,soft_churn_customer,unactivated_credit_holder
abandoned,0.9986 (1444/1446),0.0000 (0/1446),0.0000 (0/1446),0.0000 (0/1446),0.0000 (0/1446),0.0000 (0/1446),0.0007 (1/1446),0.0007 (1/1446),0.0000 (0/1446),0.0000 (0/1446)
active_customer_1m,0.0000 (0/1501),0.4917 (738/1501),0.5083 (763/1501),0.0000 (0/1501),0.0000 (0/1501),0.0000 (0/1501),0.0000 (0/1501),0.0000 (0/1501),0.0000 (0/1501),0.0000 (0/1501)
active_customer_6m,0.0000 (0/3837),0.1462 (561/3837),0.7667 (2942/3837),0.0000 (0/3837),0.0000 (0/3837),0.0870 (334/3837),0.0000 (0/3837),0.0000 (0/3837),0.0000 (0/3837),0.0000 (0/3837)
dead_credit_holder,0.0000 (0/48),0.0000 (0/48),0.0000 (0/48),1.0000 (48/48),0.0000 (0/48),0.0000 (0/48),0.0000 (0/48),0.0000 (0/48),0.0000 (0/48),0.0000 (0/48)
dead_customer,0.0000 (0/23),0.0435 (1/23),0.1304 (3/23),0.0000 (0/23),0.7826 (18/23),0.0435 (1/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23),0.0000 (0/23)
dormant_customer,0.0000 (0/1354),0.0236 (32/1354),0.0000 (0/1354),0.0000 (0/1354),0.0000 (0/1354),0.9764 (1322/1354),0.0000 (0/1354),0.0000 (0/1354),0.0000 (0/1354),0.0000 (0/1354)
fresh_credit_holder,0.0000 (0/28),0.0357 (1/28),0.0000 (0/28),0.0000 (0/28),0.0000 (0/28),0.0000 (0/28),0.0000 (0/28),0.0000 (0/28),0.0000 (0/28),0.9643 (27/28)
rejected,0.0000 (0/6897),0.0001 (1/6897),0.0000 (0/6897),0.0000 (0/6897),0.0000 (0/6897),0.0000 (0/6897),0.0006 (4/6897),0.9993 (6892/6897),0.0000 (0/6897),0.0000 (0/6897)
soft_churn_customer,0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),0.0000 (0/0),1.0000 (0/0),0.0000 (0/0)
unactivated_credit_holder,0.0000 (0/7821),0.0072 (56/7821),0.0000 (0/7821),0.0001 (1/7821),0.0000 (0/7821),0.0000 (0/7821),0.0000 (0/7821),0.0000 (0/7821),0.0000 (0/7821),0.9927 (7764/7821)
